source_text,interlinear_gloss,target_text
That house is big,house DIST.SG male big / child small,èmu èèna mone aae iiki
That house is small,house DIST.SG male big / child small,èmu èèna mone ana iiki
Ungrammatical sentence.,house clean PROX.SG,èmu mèu ne'e
This house that is clean,house REL clean PROX.SG,èmu dhu mèu ne'e
This house is clean,house PROX.SG clean,èmu ne'e mèu
Those thin logs other people already got them,wood thin REM.PL person other to.get PERF,aj'u manii sèra dhèu leo abhu le
He makes the logs thin,3SG to.make CAUS-thin wood DIST.PL,nèngu tao pa-manii aj'u sèra
He makes the house dirty,3SG (to.make) CAUS-dirty house DIST.SG,nèngu tao pa-hera èmu èèna
Who looks after her?,who to.care.for 3SG,cee leru nèngu?
What do you get'?,2SG 2SG-to.take what,èu m-ore ngaa?
Where did he take those things',3SG-to.take thing REM.PL LOC what,n-are mèdha sèi ètu ngaa
How much is in the envelopes?,how.much LOC inside envelope(IND),pèri ètu dara amplop?
Become how many parts?,to.become to how.many half-cut,j'aj'i mi pèri bèka?
"I will wait until getting bigger, when?",to.wait big how.many day,"mate kapai, pèri lod'o?"
How many children do you have?,child 2SG person how.many,ana èu dhèu pèri?
"He said, ""how much is the price?""",according.to 3SG PART price how.much,aku nèngu na kabua cangaa?
"How many palm juice container do you have, then put all outside",palm.container shell 2PL how.many PART to.make all to outside,sabha kaba miu cangaa na tao aa'i asa li'u
Where are the bees perching?,bee PROX.SG perch LOC where,oni ne'e rèda ètu mia?
"Wherever I went, I brought the sasando",1SG to.bring with sasando DIST.SG,ja'a todhe dènge sasadhu èèna
By which way they can do that,with way where that they can,dènge j'ara mia dhu rèngu bisa?
How to do this ikat weaving activity?,to.work yarn raffia PROX.SG about how,saba hèngu nyama ne'e pe tasamia?
"This ikat weaving task, how is it like?",DUP-to.work yarn raffia PROX.SG be.like how,sa-saba hèngu nyama ne'e sèmi mia?
Why do we have to go again?,to.make how 1PL.in to.go-1PL.in again,tao tasamia èdhi la-ti hari
"See, why do you postpone a bit?",to.see how 2SG to.move to.move PART little tag,ladhe tasmeramia miu eso eso eele ciki to?
"Why do you come here, friend?",what to.make PART friend to.come,ngaa tao ka angalai mai
Why did I mention the flower again,what to.work PART 1SG to.tell again flower(IND),ngaa tao ka ja'a peka hari bunga?
do you understand?,2SG-to.know PART,m-e'a do
Are you sick?,2SG sick PART,èu pèda do?
We all are new,1PL.in person new all DIST.SG tag,èdhi dhèu hiu hua na do!
They stay immediately at the house.,3PL to.stay immediately LOC house,rèngu pea dènge ètu èmu
They immediately lived in the king's palace,person great PROX.SG,dhèu aae ne'e
Rika built house in tip of west,Rika to.make house LOC tip west,Rika tao èmu buli suu haa
But according to my view,but LOC DUP-to.see 1SG,tengaa ètu la-ladhe ja'a
Then he planted it at the gate of the town,PART to.plant at mouth town(IND),ka sèla mi hèbha kota
We pray to God above,1PL.in to.ask to.pray to father Lord above,èdhi manèngi mangaj'i mi Ama Lamatua dedha
I washed it in order to become white so that it becomes something,1SG to.wash CAUS-white so.that 3SG to.become to thing,ja'a rase pa-pudhi ho nèngu j'aj'i mi mèdha
I always tell this story to children,1SG always(IND) to.tell to DUP-child,ja'a selalu lole ma ana-ana
It is plaited to be basket,to.plait so.that to.become to k.o.basket,ènyu ho j'aj'i ma kalera
When Pesa Kèli came from Sawu,time(IND) Pesa Kèli to.come from name,waktu Pesa Kèli mai ngèti Sahu
This catapult is made of animal horns,catapult PROX.SG 3SG to.make from horns,gagiti ne'e nèngu tao ngèti tadhu
He is climbing again to the top of the tree,3SG.CL to.climb again to top child wood,na ca'e hari asa kolo ana aj'u
As her thought leads to the negative thing,only DUP-to.think 3SG PROX.SG to.go-3SG to bad PART PROX.SG,dhoka nga-ngee nèngu ne'e la-'e asa karehe ka ne'e
He went again through home,3SG to.go-3SG again through house,nèngu la-'e hari re èmu
Don't laugh behind there,2SG PROH.NEG laugh through behind DIST.SG,èu baku mari re kabodho èèna
I grandma make a line with my foot,grandma chops via foot grandma PROX.SG tag,bèi sai re haga bèi ne'e we
The person did not sleep until the sun rose,person PROX.SG to.sleep not until daytime,dhèu ne'e bhèj'i boe toke mèu
Please go until you find it,to.go-2SG to.look.for until 2SG-to.see,"la-mu tenge toke m-èdhi,"
From the past until today,from formerly until to.reach latest PROX.SG,ngèti uru toke dai limuri ne'e
"You come along with us in this canoe, then",2SG to.come climb boat with 1PL.ex so.that,èu mai ca'e koha dènge ji'i ho
Soldered silver coin and brass,CAUS-water with money silver,pa-èi dènge doi pudhi
I am like grandfather,1SG be.like grandfather 1SG.CL,ja'a sèmi baki ku
You had the same trouble like me here,2SG to.get suffer be.like 1SG PROX.SG,èu abhu j'èra sèmi ja'a ne'e
How big his logs are,wood 3SG big be.like what,aj'u nèngu dèbho sèmi ngaa!
His mother has known already,mother 3SG 3SG-know already,ina n-e'a le
He brought the liver of that child,3SG.to.bring liver child DIST.SG,n-èti adhe ana èèna
One day Rika went to the beach,a day again PART Rika to.go-3SG sea,ca lod'o hari ka Rika la-'e dhasi
One day she went to the beach,a day again PART to.go-3SG sea,ca lod'o hari ka la-'e dhasi
That goat has been dead,goat DIST.SG to.die PERF,kahibi èèna madhe le
They kill the goat,3PL CAUS-to.die goat DIST.SG,rèngu pa-madhe kahibi èèna
That woman falls down,woman DIST.SG to.fall,bhèni èèna manahu
They cause the woman to fall,3PL CAUS-to.fall woman DIST.SG,ra pa-manahu bhèni èèna
They make us suffer,3PL CAUS-to.fall 1PL.in to way to.suffer(IND),ra pa-manahu èdhi asa j'ara susa
The log is long,wood DIST.SG long,aj'u èèna madhera
He makes the log long,3SG to.make CAUS-long wood DIST.SG,nèngu tao pa-madhera aj'u èèna
We cut it into small,1PL.in to.chop CAUS-child.small 3SG,èdhi sai pa-ana.iiki nèngu
There was a person named Mr. Hètu Helo,person one name 3SG.CL grandfather Hètu.Helo,dhèu èci ngara na baki Hètu.Helo
What name did you give to this place?,2PL CAUS-name island PROX.SG PROX.SG COMP what,miu pa-ngara kabarai ne'e ne na ngaa?
I went to unite with many people over there,to.go-1SG CAUS-one with person DUP-many DIST.SG,la-ku pa-èci dènge dhèu ae-ae sèi
That house is too dirty,house DIST.SG dirty many,èmu èèna hera ae
He makes that house dirty,3SG CAUS-be.dirty house DIST.SG,nèngu pa-hera èmu èèna
They boil water,3PL to.boil water,rèngu pai èi
I soldered it,1SG CAUS-water 3SG PROX.SG,ja'a pa-èi nèngu ne'e
We remember this blossom,1PL.in to.remember blossom PROX.SG,èdhi sanède hela ne'e
The Word of God reminds us,voice advice Lord CAUS- to.remember 1PL.ex,lii holonori Lamatua pa-sanède ji'i
don't tear the paper apart,2SG do.not to.tear.apart PART DUP-write DIST.SG,èu baku ciu eele sa-suri èèna
I divide the threads,2SG CAUS-to.tear.apart thread,ja'a pa-ciu hèngu
We run in our church,1PL.ex CAUS-to.walk LOC inside church(IND) 1PL.ex,ji'i pa-kako ètu dara gereja ji'i
He makes that house dirty,3SG CAUS-be.dirty house DIST.SG,nèngu pa-hera èmu èèna
He makes the house dirty,3SG (to.make) CAUS-be.dirty house DIST.SG,nèngu  pa-hera èmu èèna
They cause the goat die,3PL to.make CAUS-to.die goat DIST.SG,rèngu tao pa-madhe kahibi èèna
He makes the logs thin,3SG to.make CAUS-thin wood DIST.PL,nèngu tao pa-manii aj'u sèra
He does not make the logs thin,3SG to.make CAUS-thin not wood DIST.PL,nèngu tao pa-manii boe aj'u sèra
He does not make the logs thin,3SG to.make not CAUS-thin wood DIST.PL,nèngu tao boe pa-manii aj'u sèra
We minimize it,1PL.in to.chop CAUS-child.small 3SG,èdhi sai pa-ana.iiki nèngu
We cut it small,1PL.in to.chop 3SG CAUS-child.small,èdhi sai nèngu pa-ana.iiki
We do not cut it small,1PL.in to.chop not 3SG CAUS-child.small,èdhi sai boe nèngu pa-ana.iiki
We do not cut it small,1PL.in to.chop CAUS-child.small not 3SG,?èdhi sai pa-ana.iiki boe nèngu
I earn money,1SG to.look.for money,ja'a tenge doi
we have to look for a person,1PL.in INTS-to.look.for tag person PART,èdhi pa-tenge ku dhèu la
I hug the chair,1SG to.hug chair,ja'a liku kadera
They hug each other,two 3PL RECP-to.hug,dua rèngu pa-liku
"Why do you come , friend?",what to.make PART friend to.come,ngaa tao ka angalai mai?
We are friends,1PL.in two 1PL.in.CL RECP-friend,èdhi dua ti pa-angalai
You go to stand on the board,2SG to.go-2SG to.stand above board DIST.SG,èu la-mu titu dedha papa èèna
a bottle is standing on the stone,bottle one REL RES-to.stand LOC above stone,boto èci dhu pa-titu ètu dedha hadhu
He puts the bicycle upright,3SG.CL.SUBJ RES-to.stand bicycle(Mal),na pa-titu sapeda
a ball stuck up on the tree,ball(IND) one stuck.up LOC top wood,bola èci kajape ètu kolo aj'u
the rope that is hung on the branch of the tree,...string REL RES- stuck.up LOC branch wood DIST.SG,dhari dhu pa-kajape ètu kalai aj'u èèna
I am a person who is not eating people,1SG PROX.SG person REL HAB-1SG.to.eat not person,ja'a ne'e dhèu dhu pa-ku'a boe dhèu
Her husband died and left his wife behind,male PROX.SG to.die PART to.leave.behind female,mone ne'e madhe ka tèke ina
You are so egoistic,2SG HAB-male many,èu pa-mone ae
We come this afternoon,time afternoon PROX.SG 1PL.ex to.come,lod'o nihia ne'e ji'i mai
We are smithing this thing until afternoon,1PL.ex to.smith thing PROX.SG DUR-afternoon,ji'i tuku medha ne'e pa-nihia
The tree has thorn,child wood DIST.SG with thorn,ana aju èèna dènge dhudhu
The tree is full of thorn,child wood DIST.SG FAC-thorn,ana aj'u èèna pa-dhudhu
The Lord shows to me,Lord PA-point to.give 1SG,Lamatua pa-j'uj'u hia ja'a
That man moves his bag,man DIST.SG to.move bag(IND) 3SG,mone èèna eso tas nèngu
The woman just now moves to another place,woman recent DIST.SG PA-to.move place,bhèni deo èèna pa-'eso era
Because we tap many lontar-palms,because(IND) 1PL.ex to.tap.lontar lontar.palm many,karena ji'i èta dhua ae
don't bow down very much,2SG PROH.NEG to.bow PA-many,èu baku cudu pa-ae
They know the love of God,3PL 3PL-to.know DUP-love Lord,rèngu r-e'a sa-sue Lamatua
"They came to Ndao Island, they did not know each other",3PL come to public Dhao RECP-3PL.to.know not,rèngu mai asa kabarai Dhao pa-re'a boe
I do not care,1SG PA-1SG.to.know not,ja'a pa-ke'a boe
I cater the child to drink palm juice,1SG CAUS-to.drink child DIST.SG palm.juice,ja'a pang-inu ana èèna dhua
I feed the child rice,1SG CAUS-to.eat child DIST.SG rice,ja'a pang-a'e ana èèna kau
I compete drinking with the boy,1SG PA-1SG-to.drink water with child male REM.SG,ja'a pa-k-inu èi dènge ana mone nèi
A place where humans eat humans,place REL person RECP-3PL-to.eat person,era dhu dhèu pa-r-a'a dhèu
The log is heavy,wood DIST.SG heavy,aj'u èèna bia
"a bale, its weight is three kilograms and two ounce",a bale DUP-heavy 3SG three kilogram two ounce,ca kaloos ba-bia nèngu tèlu kilo dua ons
She is pregnant,3SG with DUP-heavy,nèngu dènge ba-bia
He made the girl pregnant,3SG CAUS-DUP-heavy child woman DIST.SG,nèngu pa-ba-bia ana bhèni èèna
Two of them got married,3PL two 3PL.CL PA-married,rèngu dua ra pa-leo-èmu
Why can we not decrease it,PART what to.make PART 1PL.in can(IND) no.more CAUS-child small,na ngaa tao ka èdhi bisa heka pa-ana iiki
"When the sun rises, Lord, You awake us",sun to.appear father Lord CAUS-to.get.up 1PL.in,lod'o rea Ama Lamatua pa-kèdi ji'i
You go to war at eight o'clock,tomorrow hour(IND) eight 2PL to.leave to place war,bèli jam aru miu pakèdi asa era musu
You should not compare you and me,2PL PROH.NEG to.liken 2PL with 1SG PROX.SG,miu baku paloa miu dènge ja'a ne
may not drink unboiled water,can(IND) not 2SG-to.drink water cold,bisa boe minu èi pacuhi
The water is already cold,water PROX.SG cold already,èi ne pacuhi le
We mix the white soil with grass,1PL.ex to.mix land white with grass,ji'i pakihu rai pudhi dènge j'u'u
I locked our house,1SG to.lock house 1PL.ex,ja'a goe èmu ji'i
I locked our house using a big key,1SG to.lock house 1PL.ex use DUP~to.lock big,ja'a goe èmu ji'i pake ga~goe kapai
I think about our life that it is very difficult,1SG to.think DUP~to.live 1PL PROX.SG PART to.suffer many,ja'a ngee ma~muri èdhi ne'e na j'èra ae
He got a good idea,3SG get DUP~to.think REL good,nèngu abhu nga~ngee dhu be'a
That is my habit of eating,DUP~1SG.eat 1SG be.like DIST.SG PART,ka~ku'a ja'a sèmi èèna ka
He could not seek food,3SG can not look.for DUP~1PL.ex.eat,nèngu bisa boe tenge nga~nga'a
What I know is only about that,DUP-1SG.know 1SG only reach that.big DIST.SG just,ka~ke'a ja'a dhoka dai sangae èèna di
"For my kids, who take care ?",child 1SG PROX.PL who to.see to.check,ana ja'a se'e cee ladhe leru?
I wait for them,1SG to.wait 3PL,ja'a mata rèngu
They wait for us,3PL to.wait 1PL.in,rèngu mata èdhi
We wait for him,1PL.in to.wait 3SG,èdhi mate nèngu
We wait for her,1PL.in to.wait 3SG,èdhi mate nèngu
He waits for me,3SG to.wait 1SG,nèngu mate ja'a
She waits for me,3SG to.wait 1SG,nèngu mate ja'a
He counts one by one  put into the basket,3SG.CL to.count DUP-one to inside basket(Mal),na iga cue-cue asa dara karanjang
I count the strings,1SG to.count rope,ja'a ige dhari
They can do this things,3PL can to.work thing PROX.SG,rèngu bisa saba mèdha ne'e
I did it in two weeks,1SG to.work 3SG two week(IND),ja'a sabe nèngu dua minggu
A bottle is lying arthwart on the stone,bottle one REL to.lie.arthwart LOC above stone,boto cue dhu palèbha ètu dedha hadhu
He placed the bottle arthwart,3SG to.lie.arthwart bottle DIST.SG,nèngu palèbhe boto èèna
I want to tell,1SG want to.tell,ja'a neo lolo
I will tell about dyeing sarongs,1SG to.tell REL to.make thread rafia PROX.SG,ja'a lole dhu tao hèngu nyama ne'e
"I got a sign, that the child",1SG to.get sign PART child,ja'a abhu tadha na ana.
Do you know this one or not?,2SG to.know PROX.SG or be.absent,èu tadhe ne'e do aad'o?
He is sick,3SG be.sick,nèngu pèda
This house is big,house PROX.SG big,èmu ne'e kapai
Our coming is a little bit late,DuP-to.come 1PL.ex today PROX.SG rather be.slow,ma-mai ji'i doe ne'e ako nena
You all work very slowly,2PL to.work be.slow many,miu saba nena ae
That boat is fast,ship DIST.SG quick,kapa nèi malai
The child ran fast,child DIST.SG to.run quick,ana èèna rai malai
Grandmother pounds betel-nut,grandma to.pound betel,bèi abo kanana
"Please,  give me your water",2PL to.give tag 1SG water 2PL PART,miu hia ku ja'a èi miu la
You sleep underneath my bed,2SG to.lie.down hole bed 1SG,èu j'unu ro'a koi ja'a
They come home,3PL to.come house,rèngu mai èmu
She came down to earth,3SG to.descent to land below come,nèngu puru asa rai haha mai
I get money,1SG to.get money,ja'a abhu doi
There is a ball at the tip of the table,to.get ball(IND) one LOC tip table,abhu bola èci ètu suu mei
There is no ball at the tip of the table,to.get not ball(IND) LOC tip table,abhu boe bola ètu suu mei
A ball at the tip of the table,ball(IND) one LOC tip table,bola èci ètu suu mei
There are people who may ask,to.get person can(IND) PA-ask,abhu dhèu bisa pa-karèi
There are no people who may ask,to.get not person can(IND) PA.ask,abhu boe dhèu bisa pa-karèi
There is no ball at the tip of the table,ball(IND) be.absent LOC tip table,bola aad'o ètu suu mei
The ball is absent at the tip of the table,ball(IND) be.absent LOC tip table,bola aad'o ètu suu mei
I have no job here,1SG DUP-to.work absence PROX.SG,ja'a sa-saba aad'o ne'e
There is no job here,DUP-to.work be.absent PROX.SG,sa-saba aad'o ne'e
While they are still thinking then,3PL still DUP-CAUS-to.think then,rèngu lili pa-ngee-pa-ngee hèia
Make strings rather long,to.make rope rather long little,tao dhari ako madhera ciki
"You, please come quickly",2SG quickly tag come,èu karohe ku mai
The water already boiled,water hot to.boil already,èi pana hare'a èle
His mother is a person of the sky,mother 3SG person above sky,ina nèngu dhèu dedha liru
Its base is  red strings,base(IND) 3SG rafia red,dasar nèngu nyama mea
My mother is Adu Hia and my father is Dhu Duli,mother 1SG Adu.Hia father 1SG Dhu.Duli,ina ja'a Adu.Hia ama ja'a Dhu.Duli
I have one sasando,1SG with sasando one,ja'a dènge sasadhu èci
I do not have any sasando,1SG with not sasando one,ja'a dènge boe sasadhu èci
A person owns this garden,person possess garden PROX.SG,dhèu unu oka ne'e
A person does not own this garden,person possess not garden PROX.SG,dhèu unu boe oka ne'e
This big log is the possession of other people,wood big(logs) PROX.SG possess person other,aj'u dèbho ne'e unu dhèu leo
I did not have anything,1SG to.own not possess,ja'a dènge boe unu
I want to have my own sasando,1SG to.want with possess sasando,ja'a neo dènge unu sasadhu
We have thirteen people at home,volume house 1PL.in person a tens three,isi èmu ji'i  ca nguru tèlu
There are twelve people,person a tens two,dhèu ca nguru dua
"You and me are one, right?",2SG with 1SG one tag,"èu dènge ja'a èci, si?"
Jote is at the eastern part of the beach,Jote PROX.SG LOC tip sea east,Jote ne'e ètu suu dhasi dhimu
He is in that cave,3SG LOC inside cave DIST.SG,nèngu  dara loe èèna
A job is here,DUP-to.work one PART PROX.SG,sa-saba èci ka= ne'e
Its price is that way,price 3SG PART DIST.SG,kabua nèngu ka= èèna
It is you now,2SG PART PROX.SG,èu ka= ne
"Friend, where were you from?",friend 2SG from where,"angalai, èu ngèti mia?"
The man is above,person DIST.SG to above,dhèu eena asa dedha
Oedai et al are  through the south,Oedai REM.PL via south DIST.SG,Oedai sèi re balèu èèna
As you all come from the south,only mother father from south to.come,dhoka ina ama ngèti balèu
We and your mother,1PL.ex with mother 2SG.CL,ji'i dènge mama mu
She is pregnant,3SG with DUP-heavy,nèngu dènge ba-bia
A man is passing by,person man one to.walk via DIST.SG,dhèu mone èci kako re èèna
This king hits me,person great PROX.SG to.hit 1SG,dhèu aae ne'e game ja'a
I hit the king,1SG to.hit person great PROX.SG,ja'a game dhèu aae ne'e
I eat the liver because,1SG 1SG-to.eat liver because,ja'a k-u'a adhe te
You go to look for a goat herdsman,2SG to.go-2SG look tag child follow goat,èu la-mu tenge ku ana madhutu kahib'i
He died,to.die 3SG,madhe nèngu
He died,3SG to.die,nèngu madhe
Rini gives me ten thousand,name to.give 1SG money a-ten thousand,Rini hia ja'a doi ca- nguru riho
Rini gives ten thousand rupiahs for me,Rini to.give money a-ten thousand to 1SG,Rini hia doi ca-nguru riho asa ja'a
Rika went to the sea,Rika to.go-3SG to sea,Rika la-'e asa dhasi
Rika went to the sea,Rika to.go-3SG sea,Rika la-'e dhasi
Pesa Kèli came from Sawu,Pesa Kèli to.come from Sawu,Pesa Kèli mai ngèti Sahu
Pesa Kèli came to Sawu,Pesa Kèli to.come Sawu,Pesa Kèli mai Sahu
They lived in the house,3PL to.stay LOC house,rèngu pea ètu èmu
They lived in the house,3PL to.stay house,rèngu pea èmu
He stores the lontar sap using a palm container,3SG to.store sap via palm.container,nèngu tanae dhua re sabha
Rika built a house in the tip of west part,Rika to.make house LOC tip west,Rika tao èmu
Rika built a house,Rika to.make house,Rika tao èmu
They hug each other on the chair,3PL RECP-to.hug LOC above chair,rèngu pa-liku
The person did not sleep until daytime,person PROX.SG to.sleep not until daytime,dhèu ne'e bhèj'i boe
I come back again safely,1SG to.return again with good,ja'a lèpa hari
She stood at front of door with a rifle,3SG to.stay LOC mouth house DIST.SG with rifle,nèngu pea ètu hèba èmu èèna
In the tip of west part Rika built a house,LOC tip west Rika to.make house,Rika tao èmu
"In the evening, they are talking",night DIST.SG 3PL to.speak voice,rèngu padhai lii
"They, in the evening, are talking",3PL night DIST.SG to.speak voice,rèngu  padhai lii
They are talking in the evening,3PL to.speak voice night DIST.SG,rèngu padhai lii
Abunaba cried,Abunaba to.cry,Abunaba tangi
His mother is a person of the sky,mother 3SG person above sky,ina nèngu dhèu dedha liru
Jote is at the eastern part of the beach,Jote PROX.SG LOC tip sea east,Jote ne'e ètu suu dhasi dhimu
The woman is weaving the cloth,person woman DIST.SG to.weave cloth DIST.SG,dhèu bhèni èèna manènu sig'i èèna
The woman has woven,person woman DIST.SG to.weave,dhèu bhèni èèna manènu
They are laughing,3PL to.laugh,rèngu mari
I laugh at them,1SG to.laugh 3PL,ja'a mari rèngu
The coconut fruit is rolling there,fruit coconut DIST.SG to.roll to.go-3SG,hua nyiu èèna bhaloli la-'e
I roll that coconut fruit,1SG to.roll fruit coconut DIST.SG,ja'a bhaloli hua nyiu èèna
This man was hit,person PROX.SG be.touched hit,dhèu ne'e lèke game
I hit this man,1SG to.hit person PROX.SG,ja'a game dhèu ne'e
They two hug each other,two 3PL RECP-to.hug,dua rèngu pa-liku
I hug the chair,1SG to.hug chair,ja'a liku kadera
He is picking fruit,3SG to.pick fruit,nèngu puu hua
He is picking fruit in the garden,3SG to.pick fruit LOC inside garden,nèngu puu hua
"Tomorrow, you visit me, friend",tomorrow to.go-2SG to.visit 1SG friend,"bèli la-mu ngad'o ja'a, angalai"
I went to the sea,1SG to.go-1SG sea,ja'a la-ku dhasi
I went to the sea,1SG to.go-1SG to sea,ja'a la-ku asa dhasi
We should not live in other people's house,PROH.NEG to.go-1PL.in to.stay house person,baku la-ti pea èmu dhèu
We should not live in other people's house,PROH.NEG to.go-1PL.in to.stay LOC house person,baku la-ti Pea ètu èmu dhèu
do.not to.go-1PL.in to.stay Dhao,do.not to.go-1PL.in to.stay Dhao,baku la-ti pea Dhao
He took a bath,3SG to.bathe water,nèngu diu èi
My mother buys a shirt for me,mother 1SG.CL to.buy shirt one give 1SG,ina ku hèli kodho èci
I trust you,1SG to.trust 2SG,ja'a lèka èu
I entrust this thing unto you,1SG to.trust thing DIST.SG LOC 2SG,ja'a lèka mèdha èèna ètu èu
Rini gives me ten thousand,Rini to.give 1SG money a-ten thousand,Rini hia ja'a doi ca-nguru riho
Rini gives ten thousand for me,Rini to.give money ten thousand to 1SG,Rini hia doi canguru riho
They sent the package for the king,3PL.CL to.send DUP-to.wrap PROX.SG to.come to.give person great,ra pa'adhu ra-rapi ne'e mai
They sent the package to the king,3PL.CL to.send DUP-to.wrap PROX.SG to.come to person big,ra pa'adhu ra-rapi ne'e mai
They sent the king the package,3PL.CL to.send person big DUP-to.wrap PROX.SG,ra pa'adhu dhèu aae ra-rapi ne'e
There was a person named Mr. Hètu Helo,person one name 3SG.CL grandfather Hètu.Helo,dhèu èci ngara =na baki Hètu.Helo
What name did you give to this island?,2PL CAUS-name island PROX.SG PROX.SG PART what,miu pa-ngara kabarai ne'e ne na ngaa?
"I name this place, Dhao",1SG CAUS-name island PROX.SG Dhao,ja'a pa-ngara kabarai ne'e Dhao
I name this place,1SG CAUS-name island PROX.SG,ja'a pa-ngara kabarai ne'e
I name Dhao to this place,1SG CAUS-name Dhao to island PROX.SG,ja'a pa-ngara Dhao asa kabarai ne'e
Today it is very hot,recent PROX.SG to.be.hot many,sagoro ae
Today it is very cold,recent PROX.SG to.be.cold many,pacuhi ae
You hit with this stick,2SG to.beat walking.stick PROX.SG,èu hake tatea ne'e
Now it is eight o'clock already,PROX.SG PROX.SG to.beat eight PERF,hake aru le
It is already rain,rain PERF,èj'i le
This woman weaves the sarong,woman PROX.SG to.weave yarn DIST.SG,bhèni ne'e manènu hèngu èèna
That sarong this woman weaves,yarn DIST.SG woman PROX.SG to.weave,hèngu èèna bhèni ne'e manènu
"Pesa Kèli, he was in the middle part",Pesa Kèli 3SG LOC middle,Pesa.Kèli nèngu ètu talora
"We, Ndaonese here, do not need to look for water",1PL.ex person Dhao PROX.SG need(IND) not to.look.for water,ji'i dhèu Dhao ne'e parlu boe tenge èi
I have no job here,1SG DUP-to.work be.absent PROX.SG,ja'a sa-saba aad'o ne'e
I am working now,1SG to.work PROX.SG,ja'a saba ne
I am doing this,1SG to.work PROX.SG,ja'a saba ne'e
This leaf is divided into two parts,leaf PROX.SG PROX.SG divide(IND) again toward two,rèu ne'e ne bagi hari ma dua
I am who is looking for this book,1SG PART REL to.search book(IND) PROX.SG,ja'a ka dhu tenge buku ne'e
I am looking for this book,1SG to.search book(IND) PROX.SG PROX.SG PART,ja'a tenge buku ne'e  ka
This is the book which I am looking for,book(IND) PROX.SG PROX.SG PART REL 1SG search,buku ne'e  ka dhu ja'a tenge
Kalera and kanacha and a wood,k.o.basket with k.o.fish.trap DIST.SG with wood one,kalera dènge kanaca èèna dènge a'ju èci
to make the red and yellow parts better,make CAUS-good DUP-red with yellow DIST.PL,tao pa-be'a ma-mea dènge karara sèra
We dip the red and yellow,1PL dip red with dip yellow,èdhi katèdhe mea dènge katèdhe karara
The man was in woods and burnt the house,person DIST.SG inside jungle and to.burn PART house,dhèu èèna dara j'ami aa tunu eele èmu
"He  went first, and then the porcupine followed",3SG earlier and porcupine latest,nèngu uru aa landak limuri
The middle of the rope is on the table and both of its tips are hanging down,middle rope LOC above table and tip DUP-two REL to.hang to.keep,talora dhari ètu dedha mei aa suu dua-dua dhu kadhoe tèke
He walked away but he was thinking,3SG to.walk PART but 3SG DUP-think,nèngu kako eele tengaa nèngu ngee-ngee
He walked away but he was thinking,3SG walk PART but DUP-think,nèngu kako eele tengaa Ø ngee-ngee
"They said that they are interested, but they have no money",according.to 3PL to.like but money be.absent,"aku rèngu, Ø dèi tengaa Ø doi aad'o"
"You have not seen  yet, but I have seen",2SG 2SG-to.see not.yet EXCL but 1SG 1SG-to.see,"èu m-èdhi mèka we, te ja'a k-èdhi"
You are ashamed or afraid,2SG be.ashamed or be.afraid,èu makae do madha'u
They went  with or without other people,3PL.to.go with person or with not person,la-si dènge dhèu do dènge boe dhèu
at one p.m or two p.m there was sound,to.strike one or to.strike two COMP PART voice k.o.sound,hake èci do hake dua na ka lii g'aro-g'aro
is there fish which has straight tail or not,to.get tail fish straight or be.absent,abhu rulai i'a mola do aad'o?
"I can earn money and I go to buy red and black dye and then I come to boil these yarns, because I don't have money",1SG-to.take money to.go-1SG to.buy water tobacco red black to.come to.boil yarn PROX.SG because 1SG money be.absent PART,k-ore doi la-ku hèli èi na'i mea mèdi mai nasu hèngu ne'e te ja'a doi aad'o nga
Our life on earth is like the bloom of flower: when sunny it is dry and when the wind blows it falls,DUP-to.live 1PL.in LOC land below PROX.SG namely be.like bloom flower day hot 3SG wilted wind blow 3SG fall,ma-muri èdhi ètu rai haha ne'e nuka sèmi hela bunga lod'o pana na kamale Ø ngèlu tiu na kabhui
The Lord who has died but risen again,Lord REL be.dead to.get.up again,Lamatua dhu madhe Ø kèdi hari
That old man who is coming is my uncle,male old REL to.come DIST.SG uncle 1SG,mone heka dhu mai èèna to'o ja'a
The love which is great is from God,DUP-to.love REL big from father God,sa-sue dhu kapai ngèti Ama Lamatua
"The person who dig the well says,",person REL to.dig well DIST.SG 3SG to.say,dhèu dhu kèi èi èèna  peka
The people who are Dhaonese,person REL person Dhao,dhèu dhu dhèu Dhao
The people who were repugnant did not approach,person REL repugnant COMPL to.go-3PL not,dhèu dhu madenge na la-si boe
Piga Sina is the one who already knew that her husband died,Piga.Sina REL 3SG-to.know PERF COMPL person house 3SG to.die,Piga.Sina dhu n-e'a le na dhèu èmu na madhe
Dhao language which is good,voice Dhao REL right-DUP,lii Dhao dhu tare'a-re'a
who can push the palm tree until it falls down,who REL push palmwine push 3SG-take also,cee dhu tule dhua tule n-are hèi
The song which I composed,voice to.sing REL 1SG to.make PROX.SG,lii soda dhu ja'a tao_ ne'e
I composed this song,1SG to.make voice sing PROX.SG,ja'a tao lii soda ne'e
The string that we pull just now,sheet REL 1PL to.pull recent DIST.SG,loa dhu èdhi nuni deo èèna
The person who Rini gives ten thousand to,person REL name to.give money a-ten thousand,dhèu dhu Rini hia doi ca- nguru rihoNP
ten thousand that Rini gives to me,money a-ten thousand REL name to.give 1SG,doi ca- nguru rihoNP dhu Rini hia ja'a
Which way they can do that,with way where REL 3PL can(IND),dènge j'ara  dhu rèngu bisa
