Pada mulanya , Allah menciptakan langit dan bumi . ||| Uru-uru tèka , Ama Lamatua pajꞌajꞌi dedha-liru dènge rai-haha .
Seandainya Allah ayahku , yaitu Allah Abraham , Yang Ditakuti oleh Ishak , tidak menyertaiku , tentu engkau sudah membiarkanku pergi dengan tangan kosong . Allah telah memperhatikan kesusahan dan kerja keras tanganku sehingga Dia menegurmu tadi malam . ” ||| Malo-malo ka , dènge Ama Lamatua , dhu baki ku Abraham , dènge ama ku Isak , dhu sogo-tagu Ne . Ladhe Na leru boe jaꞌa ne , ele boe toꞌo hia jaꞌa lèpa dènge ai hua daꞌu-daꞌu . Te ngaa Ama Lamatua dhu paꞌabhe boe musi madha Na mi jꞌajꞌèra jaꞌa , aa Na tao madha-dhilu mi sasabꞌa-laꞌa jaꞌa aaꞌi-aaꞌi . Nèti èèna ka , mèda deo na , Na mai kai toꞌo , sèna ka baku lii sakaa dènge jaꞌa . ”
Laban menjawab dan berkata kepada Yakub , “ Anak-anak perempuan ini adalah anakku , anak-anak itu adalah cucuku , kawanan kambing domba itu adalah kawananku , dan segala yang kaulihat adalah milikku . Namun , apa yang dapat aku lakukan hari ini untuk anak-anak perempuanku atau untuk anak-anak yang telah mereka lahirkan ? ||| Ropa nanene nare lii padhai Yakob , ka Laban dhaa , aku nèngu na , “ Sèmi neꞌe ! Bhèni dua se , ana jaꞌa . Ana dhu ra matana se , aaꞌi-aaꞌi ra èpu jaꞌa . Badha-manu aaꞌi-aaꞌi se , unu jaꞌa . Aaꞌi-aaꞌi dhu èu ladhe mèdhi ètu seꞌe se , unu jaꞌa . Te ngaa jaꞌa neo tao si , tasamia ? Jaꞌa bisa boe magee si .
Oleh sebab itu , mari kita membuat perjanjian , antara aku dan kamu . Biarlah ini menjadi saksi antara aku dan kamu . ” ||| De beꞌa risi , èdhi dua ti paꞌèki lii pajaji . Sèna ka lii pajaji èèna ka dhu èki èdhi dua ti . ”
Lalu , Yakub mengambil sebongkah batu dan didirikannya menjadi sebuah tugu . ||| Hèia Yakob nare ka hadhu aae cue , na patitu ètu èèna , sèna ka jꞌajꞌi mi tadha .
Yakub berkata kepada saudara-saudaranya , “ Kumpulkanlah batu-batu. ” Lalu , mereka mengambil batu-batu dan membuat satu tumpukan . Setelah itu , mereka makan di sana , di dekat tumpukan itu . ||| Hèia Yakob pua dhèu sabꞌa na , lasi udhu hadhu . Ka ra madhèdi raꞌa-rinu ètu era èèna , padètu dènge hadhu sèra .
Laban menamai tempat itu Yegar-Sahaduta . Namun , Yakub menamainya Galed . ||| Hèia Laban pangare hadhu udhu sèra , Yegar Sahaduta . Te ngaa Yakob pangare na , Galeed .
Laban berkata , “ Tumpukan batu ini adalah saksi antara aku dan kamu pada hari ini. ” Itu sebabnya , Yakub menyebut tempat itu Galed , ||| Ka Laban padhai lii , aku nèngu na , “ Hadhu udhu se , jꞌajꞌi sakasii mi èdhi dua ti. ” Nèti èèna ka , era èèna ngara na , Galeed .
atau Mizpa , sebab kata Laban , “ Biarlah TUHAN mengawasi kau dan aku , ketika kita tidak saling melihat . ||| Laban pangare kahèi era èèna , Mispa ( dhu sasoa na ‘ era jꞌaga dhu dedha ’ ) , lula na peka na , “ Pe èèna na , LAMATUA ka dhu jꞌaga èdhi dua ti , ho masi ka dua ti pakajꞌèu , baku kako eele lii pajaji ne .
Jika kamu menyusahkan anak-anak perempuanku atau mengambil istri selain dari anak-anak perempuanku ini , walaupun tidak ada yang bersama dengan kita , ingatlah , Allah adalah saksi antara aku dan kamu . ” ||| Ladhe èu tao karehe ana jaꞌa se , do leo-èmu dènge bhèni leo hari , tatu jaꞌa keꞌa boe . Te ngaa mu sanèdꞌe ! Ama Lamatua ka dhu jꞌajꞌi sakasii mi èdhi dua ti .
Laban berkata kepada Yakub , “ Lihatlah tumpukan batu ini dan tugu yang sudah kudirikan di antara aku dan kamu . Tumpukan batu ini adalah saksi dan tugu ini juga adalah saksi bahwa aku tidak akan melewati tumpukan batu ini kepadamu , dan kamu tidak akan melewati tumpukan batu dan tugu ini kepadaku untuk niat jahat . ||| Èu ladhe ku hadhu dhu patitu ne , dènge hadhu dhu udhu se . Sanèdꞌe , hadhu seꞌe ka dhu jꞌajꞌi mi too dènge lane . Èu bisa boe kako seli hadhu se , ho tao bhelu mi jaꞌa . Aa jaꞌa kahèi bisa boe kako seli hadhu se , ho tao bhelu mi èu .
Allah Abraham dan Allah Nahor , Allah nenek moyang mereka , yang mengadili di antara kita. ” Yakub bersumpah demi Yang Ditakuti oleh ayahnya , Ishak . ||| Dua ti paꞌèki lii pajaji ne , dènge kolongara Ama Lamatua nèti bèi-baki èdhi . Nuka Ama Lamatua nèti baki mu Abraham dènge baki jaꞌa Nahor . Nèngu èèna ka , dhu jꞌajꞌi hakim , sèna ka pamaꞌète lii èdhi dua ti. ” Ropa nanene nare , hèia Yakob jꞌoka soo-subha dènge kolongara Ama Lamatua , dhu ama na Isak sogo-tagu .
Kemudian , Yakub mempersembahkan kurban di pegunungan itu dan mengundang saudara-saudaranya untuk makan roti . Mereka makan roti dan bermalam di pegunungan itu . ||| Èle èèna ka , Yakob roro badha , ho jꞌajꞌi mi korban hia mi Lamatua ètu ledhe èèna . Hèia na paroa dhèu aaꞌi-aaꞌi mai raꞌa-rinu paꞌèci , ka ra beke dꞌai lodꞌo rea .
Yakub melanjutkan perjalanannya , lalu para malaikat Allah menemuinya . ||| Èle èèna ka , Yakob si kako taruu . Hèia ana pajuu Lamatua nèti sorga sèra mai paraga dènge ne .
Ketika Yakub melihat mereka , dia berkata , “ Tempat ini adalah perkemahan Allah ! ” Jadi , Yakub menamai tempat itu Mahanaim . ||| Ropa ladhe nèdhi si , na lii , aku nèngu na , “ Era neꞌe ne , sèmi era ae sordadꞌu Lamatua ! ” Nèti èèna ka , era èèna na pangare na , Mahanaim ( dhu sasoa na ‘ dua era ae iisi ’ ) .
Kemudian , Yakub mengirim beberapa utusan di depannya kepada Esau , kakaknya , di tanah Seir , negeri Edom . ||| Ka Yakob pua dhèu na pèri-pèri lasi uuru asa rai Edom ( nuka Seir ) , sèna ka lasi peka dènge aꞌa na Esau , ho neꞌa mamai na .
Dia memerintahkan kepada mereka , katanya , “ Beginilah harus kamu katakan kepada tuanku , Esau , ‘ Hambamu , Yakub , berkata : Aku telah tinggal sementara dengan Laban dan tinggal di sana sampai sekarang . ||| Hèia Yakob peka dènge si , aku nèngu na , “ Lami peka dènge aꞌa ku Esau , sèmi neꞌe : ‘ Lamatua Esau ! Ènu mu Yakob , hia jiꞌi ngèti lii karejꞌe-karae mi aꞌa na . Peka na , “ Karèi nèti jaꞌa pakèdꞌi , toke sange neꞌe ne , jaꞌa pea ètu dꞌara èmu toꞌo Laban .
Aku mempunyai sapi , keledai , kawanan kambing domba , hamba laki-laki dan hamba perempuan , dan aku telah mengutus untuk memberitahukan kepada Tuan supaya aku mendapat perkenanan di matamu . ’ ” ||| Limuri ne , ènu lamatua na dènge le unu sapi , keledꞌei , rupa-rupa kahibꞌi , dènge ènu bhèni-mone . Jaꞌa hia uru dhèu seꞌe dhiu , ho peka dènge aꞌa ku , mamai jaꞌa ne . Jaꞌa sanao sèna ka aꞌa ku sèmi jaꞌa dènge dꞌara kateme. ” ’ ” Èle ka dhèu se lasi .
Para utusan itu kembali kepada Yakub dan berkata , “ Kami telah pergi kepada kakakmu , Esau . Pada saat ini , dia sedang datang beserta empat ratus laki-laki untuk menemuimu . ” ||| Ropa dhèu se lèpa hari mai , ra lolo dènge Yakob , aku rèngu na , “ Jiꞌi paraga le dènge aꞌa mu Esau . Nuka na mai re limuri nèi , dènge dhèu na èpa ngasu dhèu mone , neo mai paraga dènge èu . ”
Yakub menjadi sangat ketakutan dan tertekan . Dia membagi orang-orang yang ada bersamanya , kawanan kambing domba , ternak , dan unta ke dalam dua kelompok . ||| Ropa na tadèngi nare , sangasa Yakob rèbha-rèbha , aa na madhaꞌu ae . Ka na hagꞌe eele dhèu na dènge badha-manu jꞌajꞌi mi dua kaboko .
Sebab , dia berpikir , “ Jika Esau mendatangi kelompok yang satu dan menyerangnya , kelompok yang tinggal akan meloloskan diri . ” ||| Na pangee , “ Ladhe Esau mai , ho na age kaboko dhu uru , na kaboko dhu limuri bisa rai , tenge sodꞌa . ”
Kemudian , Yakub berkata , “ Ya Allah nenek moyangku , Abraham , Allah ayahku , Ishak , ya TUHAN yang berkata kepadaku , ‘ Kembalilah ke negerimu dan kepada keluargamu , dan Aku akan melakukan yang baik kepadamu , ’ ||| Hèia Yakob manèngi-mangajꞌi , aku nèngu na , “ Ama Lamatua ! Èu jꞌajꞌi Lamatua nèti baki jaꞌa Abraham , aa nèti ama ku Isak . Nanene ku lii manèngi jaꞌa la ! Uru èèna , Lamatua ka dhu hia jaꞌa lèpa asa aꞌari jaꞌa , ètu kabarai neꞌe . Lamatua ka dhu moa tèke , peka na pe Lamatua uri pamola jꞌara .
aku tidak layak akan segala kebaikan dan segala kesetiaan yang Engkau nyatakan kepada hamba-Mu ini . Karena hanya dengan tongkatku , aku menyeberangi Sungai Yordan ini , tetapi sekarang aku telah menjadi dua kelompok . ||| Jaꞌa ne madhutu mola-mola na , bisa boe abhu sasue dènge mamako Lamatua . Uru èèna , lodꞌo jaꞌa pège loko Yarden , jaꞌa kèti dhoka tatea di . Te ngaa limuri ne , jaꞌa lèpa kèti dènge dhèu dua nau , aa dènge badha-manu ae .
Aku mohon , lepaskanlah aku dari tangan kakakku , dari tangan Esau , sebab aku takut terhadapnya . Jangan-jangan dia akan datang menyerangku dan para ibu dengan anak-anaknya . ||| Jaꞌa mangingi , mage dhoka aꞌa jaꞌa Esau , mai pare pamadhe jiꞌi aaꞌi-aaꞌi mi . De jaꞌa manèngi sèna ka Ama Lamatua hia mamuri mi jaꞌa , dènge ana-dhèu èmu-kamali aaꞌi-aaꞌi mi .
Engkau pernah berkata , ‘ Aku pasti akan melakukan yang baik dan membuat keturunanmu seperti pasir di laut , yang tidak terhitung karena banyaknya . ’ ” ||| Lamatua dhu jaji tèke , èèna na pala-bagi mi dedha jaꞌa mamèngi ae-ae , aa hia ana-èpu jaꞌa bèba-kacanga , sama sèmi salae ètu nebhe dhasi , dhu dhèu ige rare boe . ”
Yakub tinggal di sana pada malam itu dan dia mengambil hadiah untuk kakaknya , Esau , dari apa yang ada padanya : ||| Èle ka , Yakob si jꞌunu ètu era èèna . Asa bèli èèna , na hagꞌe badha pèri-pèri ngiꞌu ho rèti hia aꞌa na .
200 ekor kambing betina dan 20 ekor kambing jantan , 200 ekor domba betina dan 20 ekor domba jantan , ||| Na pili nare kahibꞌi rena dua ngasu ngiꞌu , kahibꞌi mone dua nguru ngiꞌu , kahibꞌi-kalèbho rena dua ngasu ngiꞌu , kahibꞌi-kalèbho mone dua nguru ngiꞌu ,
30 ekor unta yang sedang menyusui beserta anak-anaknya , 40 ekor sapi betina dan 10 ekor sapi jantan , 20 ekor keledai betina dan 10 ekor keledai jantan . ||| onta rena tèlu nguru ngiꞌu dènge ana susu , sapi rena èpa nguru ngiꞌu , canguru ngiꞌu sapi mone , keledꞌei rena dua nguru ngiꞌu , dènge canguru ngiꞌu keledꞌei mone .
Dia memberikan itu ke tangan hamba-hambanya , setiap kelompok secara tersendiri . Kemudian , dia berkata kepada hamba-hambanya , “ Dahuluilah aku dan jagalah jarak antara kelompok yang satu dengan kelompok yang lain . ” ||| Ka na hagꞌe ka badha se , èci-èci ka dènge anga na . Hèia na papala ka , èci-èci dènge ana madhenge na . Ka na peka dènge dhèu seꞌe , aku nèngu na , “ Miu kako uuru . Pe jaꞌa dhiu . Te ngaa mi palaladha ho kaboko èci pakajꞌèu nèti kaboko dhu leo sèra . ”
Dia memberikan perintah kepada hambanya yang paling depan , katanya , “ Ketika Esau , kakakku , bertemu denganmu dan bertanya kepadamu , ‘ Siapakah kamu ? Ke manakah kamu pergi ? Milik siapakah yang ada di depanmu itu ? ’ ||| Ka na peka dènge kaboko dhu uuru tèka , aku nèngu na , “ Ladhe aꞌa ku Esau paraga dènge èu , aa na karèi , peka na , ‘ Èu lamu mia ? Èu ne , ènu nèti cee ? Badha-manu se , unu cee ? ’
kamu harus menjawab , ‘ Milik hambamu , Yakub . Ini adalah hadiah yang dikirimnya untuk Tuanku , Esau . Lihatlah , dia sendiri juga ada di belakang kami . ’ ” ||| Na mi dhaa , peka na , ‘ Badha-manu se , unu ènu mu , Yakob . Na paꞌadhu hia aꞌa na , Esau . Te ngaa nèngu nuka nèti limuri nèi. ’ ”
Yakub memerintahkannya juga kepada yang kedua dan yang ketiga , dan kepada semua yang mengikuti kelompok-kelompok itu , katanya , “ Seperti itulah perkataan yang harus kamu ucapkan kepada Esau ketika kamu bertemu dengannya . Kamu juga harus berkata , ‘ Lihatlah , hambamu , Yakub , ada di belakang kami. ’ ” Sebab , dia berpikir , “ Aku akan menenangkannya dengan hadiah yang mendahuluiku . Kemudian , aku akan memandang wajahnya dan mungkin dia akan menerima . ” ||| Lii sèmi èèna , na peka kahèi dènge dhèu madhenga badha cahagꞌe sèra hèi , aku nèngu na , “ Ladhe mi paraga dènge aꞌa ku Esau , mi hia ne badha-manu se . Aa mi peka dènge ne , jaꞌa re limuri. ” Lula madhutu aꞌabhu Yakob , na hia badha se aaꞌi-aaꞌi mi Esau , èèna na Esau sèmi nèngu dènge beꞌa .
Jadi , hadiah itu mendahuluinya sementara dia sendiri bermalam di perkemahan . ||| Nèti èèna ka , na hia uuru rèti badha se . Te ngaa mèda èèna , nèngu pea ètu èèna era .
Pada malam itu , dia bangun dan mengambil kedua istrinya , kedua hamba perempuannya , dan kesebelas anak laki-lakinya untuk menyeberangi penyeberangan Yabok . ||| Mèda na , Yakob kèdꞌi , ka na pua dhèu èmu na dhèu dua , dènge dhèu èmu piara dhèu dua , dènge ana na dhèu canguru èci sèra , lasi uuru pège asa cabèka loko Yabok .
Dia membawa mereka dan menyeberangkan mereka melintasi aliran sungai . Lalu , dia menyeberangkan semua miliknya . ||| Ropa ra dꞌai ca bèka loko , ka na hia aaꞌi mèdha-panyau na asa nèi .
Lalu , Yakub tinggal sendirian dan ada Seseorang yang bergulat dengannya sampai fajar . ||| Te ngaa Yakob pea ka mesa-mesa ètu èèna . Hèia dhèu mone èci mai , ka dua ra palèka dꞌai oe mèu .
Ketika Orang itu melihat bahwa Dia tidak dapat mengalahkan Yakub , Dia memukul pangkal paha Yakub sehingga pangkal pahanya terkilir ketika bergulat dengan-Nya . ||| Ropa mone ne neꞌa na nèngu segi boe Yakob , ka na kalabhe mi kolo keja Yakob , ka gage na tabodꞌa eele nèti era na .
Kemudian , Dia berkata , “ Biarkan Aku pergi karena matahari telah terbit. ” Akan tetapi , Yakub berkata , “ Aku tidak akan membiarkan Engkau pergi , kecuali Engkau memberkatiku . ” ||| Hèia mone ne lii , aku nèngu na , “ Patabuli jaꞌa , te ciki hari , lodꞌo rea kèna. ” Te ngaa , aku Yakob na , “ Èu hia jaꞌa mèngi-nale , heka jaꞌa patabuli èu kèna ! ”
Orang itu berkata kepada Yakub , “ Siapa namamu ? ” Yakub menjawab , “ Yakub . ” ||| Ka mone ne karèi ne , “ Ngara èu ne , cee ? ” Na dhaa , peka na , “ Yakob . ”
Kemudian , Dia berkata , “ Namamu bukan lagi Yakub , melainkan Israel sebab kamu telah bergulat dengan Allah dan manusia , dan kamu menang . ” ||| Hèia mone ne lii hari , aku nèngu na , “ Èu ngara heka Yakob . Te ngaa mulai nèti deo neꞌe ne , dhèu paroa èu , Israꞌel , lula èu labꞌa le dhèu rai-haha dènge Ama Lamatua , ka èu segi. ” ( Ngara Israꞌel sasoa na ‘ dhu palèka dènge Ama Lamatua ’ . )
Kemudian , Yakub bertanya kepadanya , “ Aku mohon , beritahukanlah nama-Mu kepadaku. ” Akan tetapi , Dia berkata , “ Mengapa kamu menanyakan nama-Ku ? ” Kemudian , orang itu memberkati Yakub di situ . ||| Ka Yakob karèi ne , “ Èu peka ku ngara èu la. ” Te ngaa mone ne peka na , “ Èu neo meꞌa ngara jaꞌa , tao ngaa ? ” Hèia na hia mèngi-nale mi Yakob ètu era èèna .
Jadi , Yakub menamakan tempat itu Pniel , katanya , “ Aku telah bertemu Allah , muka dengan muka , tetapi nyawaku diselamatkan . ” ||| Ka Yakob padhai lii , aku nèngu na , “ Jaꞌa kèdhi le Ama Lamatua madha dènge madha , te ngaa jaꞌa mamuri era. ” Nèti èèna ka , Yakob pangare era èèna , Peniel , dhu sasoa na , ‘ Rèhu Lamatua ’ .
Matahari sudah terbit atasnya ketika dia melewati Pniel dan dia pincang pada pangkal pahanya . ||| Ropa Yakob tèke eele era èèna , lodꞌo dhu rea le . Te ngaa na kako gedꞌa , lula gage na tabodꞌa .
Itulah sebabnya , sampai hari ini umat Israel tidak makan urat daging yang terdapat pada pangkal paha karena Dia telah memukul pangkal paha Yakub pada otot pahanya . ||| Nèti èèna ka , toke dꞌai sange neꞌe , dhèu Israꞌel raꞌa boe sisi isi lasona , lula Lamatua kalabhe patabodꞌa eele gage bèi-baki ra Yakob .
Yakub mengarahkan matanya dan mengamat-amati . Lihat , Esau datang beserta empat ratus orang laki-laki . Kemudian , Yakub membagi anak-anaknya kepada Lea , dan kepada Rahel , dan kepada kedua hamba perempuannya . ||| Ètu dꞌara lodꞌo èèna kahèi , Yakob ladhe nèdhi Esau , dènge dhèu na èpa ngasu sèra , mai asa rèngu . Ka na papala ana na mi ina ra èci-èci .
Yakub menempatkan kedua hamba perempuannya dan anak-anak mereka di depan . Setelah itu , Lea dan anak-anaknya . Yang terakhir adalah Rahel dan Yusuf . ||| Na hia dhèu èmu piara sèra dènge ana ra kako uuru . Èle ka , Lea dènge ana-ana na , heka Rahel dènge ana na Yusuf limuri tèka .
Yakub sendiri berjalan di depan mereka dan berlutut ke tanah sebanyak tujuh kali sampai dia tiba di dekat kakaknya . ||| Te ngaa Yakob kako uuru nèti rèngu aaꞌi-aaꞌi ra . Ropa na padètu dènge aꞌa na , na patitu kètu urutuu , ka na pacudꞌu dꞌai rai pidhu hari .
Kemudian , Esau berlari menyongsongnya , memeluknya , merangkul lehernya , dan menciumnya , lalu mereka menangis . ||| Te ngaa lodꞌo Esau ladhe nèdhi ari na , rai dènge ka , laꞌe liku nare Yakob . Dua ra paliku dènge paꞌuu . Hèia dua ra tangi dꞌara pèdꞌa .
Setelah itu , dia mengarahkan matanya dan melihat perempuan-perempuan dan anak-anak itu . Dia berkata , “ Siapakah mereka yang bersamamu ini ? ” Yakub menjawab , “ Inilah anak-anak , yang dengan kemurahan hati telah dikaruniakan Allah kepadaku . ” ||| Ropa Esau nèdhi bhèni dènge ana-ana si , ka na karèi , aku nèngu na , “ Seꞌe se , cee ka seꞌe ? ” Ka Yakob peka , “ Rèngu seꞌe se , dhu Ama Lamatua pala-bagi hia jaꞌa , ènu aꞌa ku ne . ”
Kemudian , kedua hamba perempuan itu mendekat , mereka dan anak-anaknya , lalu mereka berlutut . ||| Hèia dhèu èmu piara na , dènge ana niki ra lasi pahaha iisi ètu madha Esau .
Lea beserta anak-anaknya juga mendekat , lalu mereka berlutut . Setelah itu , mendekatlah Yusuf beserta Rahel , lalu mereka berlutut . ||| Èle ka , Lea dènge ana-ana na , lasi pahaha iisi mi Esau kahèi . Dhu lasi limuri , Yusuf dènge ina na Rahel lasi pahaha iisi mi Esau kahèi .
Esau berkata , “ Apa maksudmu dengan semua iring-iringan yang aku jumpai tadi ? ” Yakub menjawab , “ Untuk memperoleh kemurahan di matamu , Tuanku . ” ||| Èle èèna ka , Esau karèi , aku nèngu na , “ Èu paꞌadhu badha pèri nau sèi , èu neo tao ngaa ? ” Hèia Yakob dhaa , aku nèngu na , “ Sèmi neꞌe , aꞌa ! Jaꞌa hia mi aꞌa ku , sèna ka aꞌa ku sèmi jaꞌa dènge dꞌara taleo . ”
Namun , Esau berkata , “ Aku telah punya banyak , Adikku . Simpanlah yang kamu miliki ini untuk dirimu sendiri . ” ||| Te ngaa Esau peka , “ Jaꞌa dènge mèdha-panyau ae kahèi . De hia ia ka jaꞌa ngaa-ngaa . ”
Yakub berkata , “ Tidak ! Aku mohon , jika pada saat ini aku memperoleh kemurahan di matamu , terimalah hadiah dari tanganku ini . Sebab , aku telah melihat wajahmu bagaikan aku telah melihat wajah Allah , dan engkau berkenan kepadaku . ||| Te ngaa Yakob bꞌala , peka na , “ Baku , aꞌa . Aꞌa ku hudꞌi sèmi la mèdha se , sèna ka jꞌajꞌi mi tadha , peka na , aꞌa ku sèmi jaꞌa dènge dꞌara taleo . Te ropa aꞌa ku bꞌui mari , ka jaꞌa sèmi dhu kèdhi bꞌui mari nèti Ama Lamatua .
Aku mohon , terimalah berkatku yang dibawa kepadamu ini karena Allah telah bermurah hati kepadaku , dan karena aku mempunyai segalanya. ” Yakub mendesaknya dan Esau pun menerimanya . ||| De jaꞌa manèngi , aꞌa ku sèmi la mèdha-panyau dhu kabꞌua aadꞌo se . Lula Ama Lamatua beꞌa titu kèna dènge jaꞌa ne . Nèti èèna ka , Na hia jaꞌa unu ngaa-ngaa se aaꞌi-aaꞌi. ” Lula Yakob pamako taruu , noꞌo do noꞌo boe èèna ka , Esau sèmi nare kahèi .
Kemudian , Esau berkata , “ Mari kita melakukan perjalanan dan berangkat . Aku akan pergi mendahuluimu . ” ||| Hèia Esau peka dènge Yakob , aku nèngu na , “ Ladhe sèmi èèna , miu paꞌèra ho lati palere . Jaꞌa lere miu . ”
Namun , Yakub berkata kepadanya , “ Tuanku mengetahui bahwa anak-anak ini masih lemah , dan besertaku ada pula kawanan kambing domba dan ternak yang masih menyusui . Jika digiring paksa selama sehari saja , semua kawanan itu akan mati . ||| Te ngaa aku Yakob na , “ Hudꞌi laa , aꞌa ! Aꞌa ku ladhe mèdhi unu mu . Ana mu se , ana iiki ae era . Rèngu se dhae èra èèna mèka . Aa badha ae ka dhu heka matana . Ladhe ta pakaseti si kako pamèri , ètu dꞌara ca lodꞌo , èèna na madhe aaꞌi si .
Jadi , silakan tuanku mendahului hambamu ini . Aku akan menyusul pelan-pelan mengikuti langkah ternak di depanku , dan mengikuti langkah anak-anak hingga aku tiba kepada tuanku di Seir . ” ||| De beꞌa risi , aꞌa ku si kako uuru . Pe jiꞌi kako mau-mau dhiu . Ladhe èèna na , jaꞌa dhiu ngadꞌo aꞌa ku ètu Seir . ”
Lalu , Esau berkata , “ Kalau begitu , biarlah kutinggalkan bersamamu beberapa orang yang menyertaiku ini. ” Akan tetapi , Yakub menjawab , “ Apakah perlunya hal itu ? Biarlah aku memperoleh kemurahan hati di mata tuanku . ” ||| Hèia Esau lii hari , na peka , “ Ladhe sèmi èèna , jaꞌa tèke eele dhèu jaꞌa se cahagꞌe , sèna ka padꞌelo jꞌara hia miu. ” Te ngaa , aku Yakob na , “ Hudꞌi laa , aꞌa , ee ! Sadꞌi jaꞌa keꞌa le , aꞌa ku sèmi jaꞌa dènge beꞌa . ”
Jadi , pada hari itu , Esau kembali ke perjalanannya menuju Seir . ||| Tadèngi nare , Esau pakèdꞌi ka , tèke eele si , lèpa asa Seir .
Sementara itu , Yakub berangkat ke Sukot dan mendirikan rumah bagi dirinya dan membuat pondok-pondok dari daun bagi ternaknya . Itulah sebabnya , tempat itu dinamakan Sukot . ||| Te ngaa nèti era èèna , Yakob laꞌe asa Sukot . Dꞌai nèi , na tao èmu dènge oka hia badha aaꞌi-aaꞌi ra . Nèti èèna ka , era èèna ra pangare na Sukot ( dhu sasoa na ‘ èmu pea taha ’ ) .
Yakub tiba dengan selamat di kota Sikhem , di tanah Kanaan , ketika dia tiba dari Padan-Aram . Lalu , dia mendirikan tendanya di depan kota itu . ||| Te ngaa nèbhu boe ka , Yakob si kako nèti Padan Aram , lasi dꞌai rae Sikem ètu rai Kanaꞌan dènge sodꞌa-mole . Hèia ra patitu paleo , sèna ka ra pea padètu dènge rae èèna .
Dia membeli sebidang tanah , tempat dia mendirikan tendanya dari tangan keturunan Hemor , ayah Sikhem , seharga 100 kesita . ||| Rai dhu Yakob patitu paleo ne , hèli nare nèti Hemor , ana Sikem . Kabꞌua rai ne , ca ngasu doi iia .
Dia mendirikan mazbah di situ dan menyebutnya , “ Allah Israel adalah Allah . ” ||| Ètu era ne , na pudhi hadhu , tao mei korban . Ka na pangare era neꞌe , El-Elohe-Israꞌel , dhu sasoa na ‘ Ama Lamatua nèti Israꞌel ’ .
Pada suatu hari , Dina , anak perempuan Lea , yang dilahirkannya bagi Yakub , pergi untuk mengunjungi anak-anak perempuan di negeri itu . ||| Ca lodꞌo , Dina , ana bhèni Yakob dènge Lea , laꞌe pangadꞌo dènge bhèni anga-aangalai na ètu rae èèna .
Ketika Sikhem , anak Hemor , orang Hewi , pemimpin negeri itu , melihat Dina , dia membawanya dan menidurinya , lalu memerkosanya . ||| Dhèu aae kabarai ne , ngara na Hemor , nèti suku Hewi . Ngara ana mone na , Sikem . Ca tèka , Sikem ladhe nèdhi Dina , ka rai nèti ne , hèia na tao pakarehe ne .
Namun , jiwanya terpaut kepada gadis itu , anak perempuan Yakub . Dia mencintai gadis itu dan berbicara dengan lembut kepadanya . ||| Sikem dꞌèi madhe-madhe Dina ne . Ka na solo mako , sèna ka Dina noꞌo dènge ne .
Lalu , Sikhem berkata kepada Hemor , ayahnya , “ Dapatkanlah gadis itu bagiku untuk menjadi istriku . ” ||| Hèia Sikem peka dènge ama na , aku nèngu na , “ Ama ! Lamu karèi Dina hia jaꞌa , sèna ka jaꞌa madhèdi dènge ne . ”
Yakub mendengar bahwa dia telah menodai Dina , anak perempuannya . Namun , anak-anak laki-lakinya sedang bersama ternak di padang sehingga Yakub tetap diam sampai mereka pulang . ||| Tatao Sikem ne , Yakob dhu tadèngi le , te ngaa na mau-mau , aa tao boe ngaa-ngaa . Te lodꞌo èèna , ana mone na sèra , ètu dꞌara padꞌa madhenge badha rèngu . Ka na mate si mai ku .
Kemudian , Hemor , ayah Sikhem , pergi kepada Yakub untuk berbicara dengannya . ||| Lodꞌo èèna , Hemor , ama Sikem , mai padhai lii dènge Yakob , ho neo karèi Dina hia Sikem .
Anak-anak Yakub baru kembali dari padang ketika mendengar tentang hal ini sehingga orang-orang itu merasa sakit hati dan sangat terbakar kemarahannya karena Sikhem telah berbuat aib di antara orang Israel dengan meniduri anak perempuan Yakub . Hal itu tidak pantas untuk dilakukan . ||| Ètu talora dua ra padhue-padhai era , ana-ana Yakob lèpa nèti dꞌara padꞌa . Ropa ra tadèngi Sikem dhu tao pakarehe le ana hèni ra , ka dꞌara ra pèdꞌa , ka ra nasa bia . Ka ra peka , “ Madha jꞌara dhu sèmi neꞌe ne , lèke boe ètu Israꞌel . De jiꞌi se sèmi boe dhèu tao bhelu-katubꞌa sèmi èèna . ”
Akan tetapi , Hemor berkata kepada mereka , katanya , “ Jiwa anakku , Sikhem , telah terpaut kepada anak perempuanmu . Aku mohon , berikanlah anak perempuanmu itu kepadanya untuk menjadi istrinya . ||| Ka Hemor pamako Yakob , aku nèngu na , “ Ana jaꞌa Sikem dꞌèi tareꞌa-reꞌa ana èu Dina . De jaꞌa manèngi dꞌara èu , sèna ka moꞌo la , paleo ana bhèni èu dènge ne .
Marilah kita saling berbesan . Berikanlah anak perempuanmu kepada kami dan ambillah anak-anak perempuan kami bagimu . ||| Ladhe moꞌo ana-ana èdhi se paleo iisi-aanga ra . Ana-ana mone nèti miu , madhèdi dènge ana-ana bhèni nèti jiꞌi . Sèmi èèna kahèi , ana-ana mone jiꞌi madhèdi dènge ana-ana bhèni miu .
